#species id	cell-line names	
species:ncbi:9606	FIB-MOR1 cells|FIB-MOR1 cell|FIB-MOR1 celllines|FIB-MOR1 cell-line|FIB-MOR1 cellline|FIB-MOR1 cell-lines
species:ncbi:9606	IGF002/00 cell-lines|IGF002/00 cell-line|IGF002/00 cellline|IGF002/00 celllines|IGF002/00 cell|IGF002/00 cells
species:ncbi:9606	FIB-NC13 cell-line|FIB-NC13 celllines|FIB-NC13 cell-lines|FIB-NC13 cells|FIB-NC13 cellline|FIB-NC13 cell
species:ncbi:9606	OAW42 cellline|OAW42 celllines|OAW42 cell-lines|OAW42 cell-line|OAW42 cell|OAW42 cells
species:ncbi:9606	IGF036/81 cell|IGF036/81 cell-lines|IGF036/81 cellline|IGF036/81 cells|IGF036/81 cell-line|IGF036/81 celllines
species:ncbi:9606	IGF026/86 cell-lines|IGF026/86 cell-line|IGF026/86 celllines|IGF026/86 cell|IGF026/86 cellline|IGF026/86 cells
species:ncbi:10090	DS19 cell|DS19 cell-line|DS19 cell-lines|DS19 cellline|DS19 celllines|DS19 cells
species:ncbi:9606	IGF003/83 cell-lines|IGF003/83 cells|IGF003/83 cell-line|IGF003/83 celllines|IGF003/83 cell|IGF003/83 cellline
species:ncbi:9913	BL-20 cell-line|BL-20 cellline|BL-20 cells|BL-20 cell|BL-20 cell-lines|BL-20 celllines
species:ncbi:9606	IGF014/82 cells|IGF014/82 celllines|IGF014/82 cellline|IGF014/82 cell-lines|IGF014/82 cell-line|IGF014/82 cell
species:ncbi:9606	IGF033/97 cellline|IGF033/97 cell-lines|IGF033/97 cell-line|IGF033/97 celllines|IGF033/97 cells|IGF033/97 cell
species:ncbi:9606	IGF001/99 cell-lines|IGF001/99 celllines|IGF001/99 cell|IGF001/99 cell-line|IGF001/99 cellline|IGF001/99 cells
species:ncbi:9685	FEA4 + PFSC/C1 cell-lines|FEA4 + PFSC/C1 cell-line|FEA4 + PFSC/C1 cellline|FEA4 + PFSC/C1 celllines|FEA4 + PFSC/C1 cells|FEA4 + PFSC/C1 cell
species:ncbi:9606	AG 5025 cell-lines|AG 5025 cell-line|AG 5025 celllines|AG 5025 cellline|AG 5025 cell|AG 5025 cells
species:ncbi:9606	FIB-NC15 cellline|FIB-NC15 cell|FIB-NC15 cell-lines|FIB-NC15 cells|FIB-NC15 celllines|FIB-NC15 cell-line
species:ncbi:9606	O-B94a celllines|O-B94a cell-lines|O-B94a cell-line|O-B94a cell|O-B94a cellline|O-B94a cells
species:ncbi:9606	MD86 celllines|MD86 cells|MD86 cell|MD86 cellline|MD86 cell-lines|MD86 cell-line
species:ncbi:9823	L14 cellline|L14 cell-lines|L14 cell-line|L14 cell|L14 celllines|L14 cells
species:ncbi:9606	IGF026/85 cellline|IGF026/85 cell-line|IGF026/85 cell|IGF026/85 celllines|IGF026/85 cells|IGF026/85 cell-lines
species:ncbi:9606	IGF003/82 cellline|IGF003/82 celllines|IGF003/82 cell-line|IGF003/82 cell|IGF003/82 cells|IGF003/82 cell-lines
species:ncbi:9606	B-K88 celllines|B-K88 cells|B-K88 cellline|B-K88 cell-lines|B-K88 cell|B-K88 cell-line
species:ncbi:9606	IGF021/87 cellline|IGF021/87 celllines|IGF021/87 cell|IGF021/87 cell-lines|IGF021/87 cell-line|IGF021/87 cells
species:ncbi:9606	MD94PLEBV cell|MD94PLEBV cells|MD94PLEBV celllines|MD94PLEBV cell-lines|MD94PLEBV cellline|MD94PLEBV cell-line
species:ncbi:10090	9.0.4.C43 cells|9.0.4.C43 cell-lines|9.0.4.C43 celllines|9.0.4.C43 cell|9.0.4.C43 cellline|9.0.4.C43 cell-line
species:ncbi:9606	IGF006/86 celllines|IGF006/86 cell-lines|IGF006/86 cell|IGF006/86 cell-line|IGF006/86 cellline|IGF006/86 cells
species:ncbi:9606	FIB-NC16 cells|FIB-NC16 cell|FIB-NC16 cell-lines|FIB-NC16 cellline|FIB-NC16 cell-line|FIB-NC16 celllines
species:ncbi:9606	IGF001/96 cellline|IGF001/96 celllines|IGF001/96 cells|IGF001/96 cell-lines|IGF001/96 cell|IGF001/96 cell-line
species:ncbi:10090	FDCP-Mix cl.A4 cell|FDCP-Mix cl.A4 cellline|FDCP-Mix cl.A4 cell-line|FDCP-Mix cl.A4 cells|FDCP-Mix cl.A4 cell-lines|FDCP-Mix cl.A4 celllines
species:ncbi:9606	IGF014/81 cell-line|IGF014/81 cellline|IGF014/81 cell|IGF014/81 cell-lines|IGF014/81 celllines|IGF014/81 cells
species:ncbi:9606	IGF038/95 cellline|IGF038/95 cell|IGF038/95 celllines|IGF038/95 cell-lines|IGF038/95 cells|IGF038/95 cell-line
species:ncbi:9606	IGF009/78 cell|IGF009/78 cells|IGF009/78 celllines|IGF009/78 cellline|IGF009/78 cell-lines|IGF009/78 cell-line
species:ncbi:9606	IGF021/86 cellline|IGF021/86 cell-line|IGF021/86 celllines|IGF021/86 cell|IGF021/86 cell-lines|IGF021/86 cells
species:ncbi:9606	FIB-NC22 cellline|FIB-NC22 cell-line|FIB-NC22 celllines|FIB-NC22 cell|FIB-NC22 cell-lines|FIB-NC22 cells
species:ncbi:9606	IGF006/85 celllines|IGF006/85 cell-lines|IGF006/85 cell-line|IGF006/85 cell|IGF006/85 cells|IGF006/85 cellline
species:ncbi:10090	Ehrlich-Lettre ascites, strain E cells|Ehrlich-Lettre ascites, strain E cell-lines|Ehrlich-Lettre ascites, strain E cell|Ehrlich-Lettre ascites, strain E celllines|Ehrlich-Lettre ascites, strain E cellline|Ehrlich-Lettre ascites, strain E cell-line
species:ncbi:9606	IGF001/95 cell-line|IGF001/95 cell-lines|IGF001/95 cells|IGF001/95 cellline|IGF001/95 celllines|IGF001/95 cell
species:ncbi:9606	IGF038/96 cell-line|IGF038/96 cellline|IGF038/96 cell|IGF038/96 celllines|IGF038/96 cell-lines|IGF038/96 cells
species:ncbi:9606	IGF014/80 celllines|IGF014/80 cells|IGF014/80 cell-lines|IGF014/80 cellline|IGF014/80 cell-line|IGF014/80 cell
species:ncbi:9606	IGF019/86 cell-lines|IGF019/86 cell-line|IGF019/86 cells|IGF019/86 cellline|IGF019/86 celllines|IGF019/86 cell
species:ncbi:10090	L165.6 cell-lines|L165.6 cell-line|L165.6 celllines|L165.6 cells|L165.6 cell|L165.6 cellline
species:ncbi:9606	IGF021/90 cells|IGF021/90 celllines|IGF021/90 cell-line|IGF021/90 cellline|IGF021/90 cell|IGF021/90 cell-lines
species:ncbi:9606	COLO 320 DMF cells|COLO 320 DMF cell|COLO 320 DMF celllines|COLO 320 DMF cell-lines|COLO 320 DMF cellline|COLO 320 DMF cell-line
species:ncbi:9606	IGF001/98 cellline|IGF001/98 cells|IGF001/98 cell|IGF001/98 cell-lines|IGF001/98 cell-line|IGF001/98 celllines
species:ncbi:9606	IGF041/86 cells|IGF041/86 cell-line|IGF041/86 cellline|IGF041/86 cell-lines|IGF041/86 celllines|IGF041/86 cell
